馈	受
扩	缩
揽	推
烂	鲜
溜	盯
眯	瞪
牡	牝
曩	今
尼	僧
纽	解
趴	起
逄	别
旁	正
抛	接
捧	贬
牝	牡
扑	起
妻	夫
欺	诚
启	承
怯	勇
痊	病
仁	暴
融	冻
塞	拔
泰	否
贪	廉
贪	清
掀	盖
傍	中
趋	避
觑	瞪
燃	熄
丧	得
穑	稼
烧	熄
奢	俭
身	心
说	听
酥	艮
炭	冰
逃	追
贴	揭
听	说
拖	推
挽	推
绾	解
委	振
畏	勇
卧	起
勿	务
务	勿
狭	广
孝	逆
谐	庄
泄	憋
心	边
心	身
徐	疾
薰	莸
湮	通
妍	媸
赝	真
央	边
养	亲
贻	受
遗	受
已	未
影	形
壅	通
勇	怯
勇	畏
勇	智
摘	戴
瞻	顾
瞻	瞰
展	卷
振	委
织	拆
毖	率
伯	季
菜	饭
超	低
吵	静
乘	除
辍	作
挫	长
乏	有
饭	菜
诽	颂
缝	拆
赶	留
梏	桎
雇	辞
哈	吸
暖	暗
衡	从
华	洋
晦	拥
获	失
挤	松
叫	草
咎	休
句	读
撅	拖
觉	梦
看	放
铐	镣
刻	善
丽	丑
镣	铐
猛	文
梦	觉
撵	留
排	引
聘	辞
裒	益
黢	皑
圈	放
杀	长
慎	率
艏	艉
舒	卷
烫	冰
惕	率
痛	快
翕	张
媳	婆
延	缩
堙	通
莸	薰
予	受
谀	贬
与	受
雨	晴
愈	病
约	博
臧	否
曾	将
赠	受
诈	诚
胀	缩
踬	成
拽	推
专	博
庄	谐
追	逃
阻	通
褪	挽
艉	艏
饩	受
泻	吐
昕	昏
兄	弟
嘘	吸
婿	翁
玄	皑
押	放
迓	送
晏	早
殃	利
烊	冻
挹	注
引	排
油	死
宇	宙
斋	化
嫜	姑
折	倍
絷	放
桎	梏
宙	宇
注	挹
筑	拆
缁	皑
哀	乐
矮	高
爱	恨
安	乱
暗	明
昂	俯
凹	凸
拔	扎
跋	序
白	黑
败	胜
板	活
褒	贬
宝	废
饱	饿
卑	尊
悲	喜
北	南
背	面
本	梢
笨	灵
妣	考
彼	此
闭	开
弊	利
避	扬
边	内
贬	褒
标	本
表	里
别	逢
瘪	饱
宾	主
兵	民
播	收
薄	厚
残	全
侧	正
差	对
拆	装
产	销
昌	亡
潮	干
撤	设
臣	君
沉	浮
陈	新
晨	昏
成	败
城	乡
惩	奖
弛	张
迟	快
耻	荣
赤	黑
仇	友
愁	喜
稠	稀
丑	美
臭	香
出	入
初	末
除	兴
穿	脱
春	秋
纯	杂
慈	狠
雌	雄
此	彼
次	主
赐	乞
从	主
粗	细
脆	韧
存	亡
错	对
答	问
大	小
呆	活
歹	好
淡	浓
当	赎
得	失
低	高
籴	粜
敌	友
嫡	庶
递	接
点	面
冬	夏
陡	平
断	续
发	收
腹	背
该	还
归	去
大	小
多	少
上	下
左	右
前	后
冷	热
高	低
进	退
黑	白
天	地
男	女
里	外
死	活
公	私
快	慢
矛	盾
宽	窄
强	弱
轻	重
缓	急
松	紧
好	坏
美	丑
善	恶
是	非
闲	忙
来	去
分	合
存	亡
动	静
浓	淡
偏	正
饥	饱
爱	恨
升	降
开	关
始	终
胖	瘦
迎	送
盈	亏
真	假
虚	实
有	无
雅	俗
是	否
稀	密
粗	细
东	西
巧	拙
恩	怨
新	旧
正	邪
通	堵
止	行
古	今
张	弛
曲	直
亮	暗
亲	疏
收	放
输	赢
逆	顺
苦	甜
忠	奸
纵	横
得	失
南	北
薄	厚
哭	笑
文	武
推	拉
问	答
主	仆
买	卖
深	浅
聚	散
干	湿
彼	此
生	熟
单	双
首	末
你	我
警	匪
盛	衰
胜	败
加	减
软	硬
赔	赚
阴	阳
反	正
祸	福
信	疑
错	对
藏	露
老	少
正	歪
断	续
钝	锐
雌	雄
醒	睡
咸	淡
安	危
凹	凸
尊	卑
本	末
褒	贬
宾	主
表	里
并	分
瘪	鼓
